States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Meghalaya,38.7,38.2,38.0,78.83,131.0,127.83,114.89,91.0,46.1,72.6,130.0,134.6,139.5,137.5,175.0,136.0,79.5,359.5,22.0,25.8,47.5,71.4
Mizoram,47.0,43.0,45.2,99.33,132.43,122.86,123.75,104.55,50.0,77.55,179.67,193.2,172.4,143.09,184.67,138.0,116.63,493.89,28.91,40.36,52.64,79.22
Nagaland,40.8,40.13,47.73,97.27,130.25,122.75,122.14,96.87,50.73,70.69,200.0,141.33,181.67,151.53,186.0,137.5,78.75,306.79,17.4,28.73,49.0,96.07
Odisha,36.87,37.64,40.0,75.33,147.0,113.67,108.53,79.47,44.07,52.71,155.0,137.73,114.36,131.33,117.0,96.87,50.71,273.91,26.29,20.4,32.07,44.47
Puducherry,46.0,39.0,33.0,73.0,168.0,125.0,110.0,87.0,40.0,45.0,205.0,166.0,149.0,,113.0,94.0,49.0,387.0,23.0,29.0,29.0,37.0
Punjab,36.45,23.91,28.64,79.55,143.91,113.73,108.73,94.45,42.45,57.5,197.4,127.82,121.82,119.0,145.1,102.38,51.27,265.91,26.27,20.64,34.64,55.18
Rajasthan,40.56,28.44,30.67,71.67,113.56,105.22,98.67,86.22,40.56,53.22,178.33,155.33,125.0,145.78,151.14,140.5,41.11,299.56,19.33,22.11,24.78,69.22
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,446.0,19.0,35.2,42.0,81.6
Tamil Nadu,55.35,44.07,52.52,82.32,165.35,132.61,117.68,91.81,41.94,45.87,211.81,182.86,124.1,,116.29,93.65,53.9,287.1,23.42,34.48,35.94,31.48
Telangana,48.9,38.5,42.9,70.7,133.1,115.1,107.0,90.6,39.7,63.8,168.0,172.4,118.1,149.33,119.4,100.2,54.7,298.2,18.8,29.1,29.8,43.0
Tripura,39.0,,37.33,81.33,140.67,125.67,114.67,99.0,47.33,71.67,,130.0,127.67,118.33,156.0,103.0,62.67,203.33,11.33,24.0,40.0,88.33
Uttar Pradesh,36.67,25.66,31.88,74.41,136.95,110.59,107.29,92.17,42.2,62.24,192.0,141.91,130.48,135.12,163.3,113.64,47.73,243.01,26.77,20.03,29.84,56.15
Uttarakhand,34.75,26.25,32.5,84.5,124.5,106.25,110.5,101.5,41.25,63.0,163.25,139.5,142.5,141.75,155.25,114.5,51.75,263.25,28.25,23.0,32.0,50.5
West Bengal,42.25,29.5,38.0,76.5,132.31,112.73,116.38,105.75,43.56,54.38,200.8,133.25,113.38,118.81,136.88,102.73,51.44,276.19,20.44,21.13,34.5,71.2
2023-08-31,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,195.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,106.67
Andhra Pradesh,56.75,41.0,43.75,75.75,155.25,122.75,116.75,99.0,43.5,57.75,176.75,181.0,116.5,150.0,114.25,93.25,59.25,356.75,21.5,29.25,30.25,31.0
Arunachal pradesh,31.67,42.0,38.33,86.67,130.0,125.0,120.0,103.0,52.5,70.0,,160.0,170.0,146.5,212.5,,70.0,300.0,22.5,28.5,41.0,70.0
Assam,41.81,31.6,36.41,77.15,133.96,107.43,109.78,90.52,45.0,69.81,199.5,147.04,137.5,139.15,155.27,113.71,56.92,258.56,13.35,21.96,35.54,85.48
Bihar,37.97,26.19,32.16,73.5,137.47,112.22,109.13,79.22,43.32,55.48,191.94,137.23,122.48,129.55,165.77,110.7,48.13,281.48,22.77,19.06,31.06,66.84
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,35.0,45.0
Chhattisgarh,35.29,32.0,34.86,73.71,135.14,103.43,106.43,86.14,41.57,58.57,190.71,149.43,127.29,132.86,150.57,123.57,46.86,289.14,21.71,23.71,30.29,48.57
Delhi,39.0,28.0,31.0,80.0,162.0,128.0,115.0,89.0,41.0,53.0,218.0,144.0,131.0,130.0,144.0,104.0,60.0,245.0,26.0,27.0,37.0,43.0
DNH and DD,45.67,39.0,44.67,81.0,152.0,130.0,120.67,96.0,41.33,64.0,210.67,155.0,140.67,131.67,132.67,101.67,68.0,350.0,27.0,21.67,33.33,41.33
Goa,47.0,43.0,42.0,83.5,162.0,125.0,122.5,97.5,43.0,57.5,216.0,161.0,145.0,152.5,122.5,100.0,56.5,315.5,24.5,35.0,37.5,36.0
Gujarat,39.4,33.0,38.4,74.6,132.8,113.0,105.2,91.6,42.2,58.6,191.4,139.4,134.0,136.8,126.2,110.0,51.6,284.8,14.25,26.4,26.6,71.4
Haryana,40.5,26.0,33.0,68.0,130.75,102.0,99.25,94.0,42.25,59.25,188.75,143.5,133.0,128.0,158.75,114.25,45.5,237.0,25.75,17.25,24.25,69.75
Himachal Pradesh,37.08,21.0,32.17,76.42,142.5,120.75,112.5,86.83,44.5,53.08,219.5,166.5,140.08,133.7,152.4,121.5,46.08,257.92,27.58,30.67,38.92,56.58
Jammu and Kashmir,39.25,30.25,40.75,85.0,125.25,118.5,115.0,101.25,50.75,51.75,243.0,161.25,146.75,146.25,169.0,135.33,48.25,316.25,25.0,27.25,40.25,63.25
Jharkhand,38.47,31.0,35.13,75.4,141.4,106.87,106.6,81.73,43.93,56.62,180.91,140.14,122.93,132.57,159.31,107.64,47.64,294.62,22.57,19.67,28.87,63.33
Karnataka,54.9,41.6,45.53,87.9,150.63,131.87,121.23,105.6,41.63,49.43,180.7,170.47,123.17,141.45,124.67,99.13,51.63,294.57,19.73,30.87,34.4,35.3
Madhya Pradesh,36.84,27.7,33.54,75.97,144.59,107.27,107.57,90.73,42.03,57.14,189.7,137.62,121.51,114.7,143.11,113.95,47.51,244.65,18.24,20.81,25.84,46.03
Maharashtra,47.47,38.11,42.53,77.21,157.32,120.53,118.05,97.68,43.16,57.63,190.58,160.94,131.42,113.53,127.79,105.56,52.21,291.47,23.58,27.47,31.21,48.0
Meghalaya,38.6,38.2,38.0,78.83,131.0,127.83,114.67,90.8,46.0,72.5,130.0,134.3,138.75,137.2,175.0,136.0,80.0,358.8,22.2,25.9,48.0,70.7
Mizoram,47.09,43.0,45.2,99.22,132.43,122.86,123.75,104.82,50.0,76.82,179.67,192.3,172.4,143.64,183.33,137.2,116.63,493.89,28.91,40.09,52.73,79.22
Nagaland,40.56,40.13,47.88,96.67,130.25,122.13,122.0,97.06,50.69,70.64,200.0,141.88,181.67,150.81,186.0,137.5,76.11,309.67,17.56,28.5,49.06,92.56
Odisha,37.26,37.0,40.36,75.3,147.09,111.39,108.48,79.65,43.7,51.73,167.83,141.0,119.0,141.0,120.04,97.7,49.96,273.21,26.22,20.39,31.61,47.39
Puducherry,46.0,39.0,33.0,73.0,168.0,125.0,110.0,87.0,40.0,45.0,205.0,166.0,149.0,,113.0,94.0,49.0,387.0,23.0,29.0,29.0,37.0
Punjab,36.83,24.25,29.0,79.5,146.75,113.75,109.08,92.75,42.82,59.0,193.27,126.17,121.42,118.83,140.4,104.56,50.18,268.64,26.55,19.9,33.5,51.3
Rajasthan,39.56,29.88,32.72,72.36,114.24,105.16,100.24,90.44,41.32,51.71,184.76,156.4,132.3,143.21,161.05,147.0,43.12,299.28,20.2,22.48,25.12,76.58
Sikkim,51.0,34.75,42.0,80.0,130.0,132.5,123.75,106.25,48.75,63.75,,182.0,137.25,158.33,198.5,,56.25,420.75,19.5,35.75,42.5,87.0
Tamil Nadu,55.3,44.14,53.0,82.53,165.77,132.97,117.97,92.08,42.0,45.93,213.33,182.93,124.9,,116.33,93.77,54.03,275.74,23.33,34.67,36.0,29.83
Telangana,49.3,39.1,43.0,71.3,134.0,115.7,107.3,90.4,39.63,63.13,168.44,171.33,117.67,145.2,117.11,98.22,54.63,294.0,18.0,27.5,29.25,41.38
Tripura,39.0,,38.0,82.0,140.67,126.0,112.25,101.25,47.25,70.75,,134.5,127.67,119.25,153.75,103.5,66.5,219.5,11.0,23.25,38.75,83.75
Uttar Pradesh,36.59,25.62,31.79,74.64,137.36,111.41,107.62,91.85,42.13,61.97,193.32,141.51,129.85,134.59,163.45,112.57,48.07,239.17,26.55,20.05,29.98,53.37
Uttarakhand,34.0,23.0,28.0,77.0,152.0,112.0,113.0,108.0,40.0,63.0,171.0,138.0,137.0,138.0,141.0,89.0,51.0,217.0,28.0,17.0,23.0,42.0
West Bengal,43.91,29.7,37.95,77.73,135.95,113.57,119.0,106.68,43.71,54.71,203.45,133.29,114.71,117.29,135.24,101.84,52.62,276.05,21.57,21.05,35.29,60.58
2023-09-01,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,237.5,195.67,199.0,,141.0,128.33,76.67,308.33,20.33,46.67,56.67,100.0
Andhra Pradesh,52.2,40.8,44.2,73.8,149.2,120.8,115.0,99.8,43.6,58.2,177.8,196.0,117.2,175.0,119.0,98.6,58.2,325.0,21.2,31.2,29.8,29.0
Arunachal pradesh,31.67,42.0,38.33,86.67,130.0,125.0,120.0,103.0,52.5,70.0,,160.0,170.0,146.5,212.5,,70.0,300.0,22.5,25.0,42.5,70.0
Assam,41.93,30.8,36.44,77.52,134.23,107.17,109.56,91.33,45.04,69.92,199.4,147.67,138.86,140.63,155.87,117.24,57.62,259.76,13.46,21.67,35.67,84.13
Bihar,37.95,26.27,32.89,73.46,135.78,111.92,108.14,80.05,43.22,55.62,186.44,139.08,126.95,131.16,170.79,111.47,48.7,273.92,22.7,19.51,31.03,66.68
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,35.0,45.0
Chhattisgarh,39.86,35.86,37.14,76.71,138.5,103.43,106.14,87.29,42.29,60.0,187.33,143.0,121.57,122.83,143.83,110.43,50.71,282.14,25.29,25.0,33.29,45.0
Delhi,39.0,28.0,31.0,82.0,162.0,132.0,115.0,91.0,41.0,53.0,218.0,144.0,131.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,38.0,40.0
DNH and DD,44.67,39.67,44.67,82.0,154.67,132.0,120.33,97.0,42.0,64.0,210.67,155.0,140.67,131.33,132.67,101.67,68.33,350.0,27.0,21.0,33.0,41.0
Goa,47.0,43.0,42.0,83.5,162.0,125.0,122.5,97.5,43.0,57.5,216.0,161.0,145.0,152.5,122.5,100.0,56.5,315.5,24.5,35.0,37.5,36.0
Gujarat,38.4,32.8,38.0,74.4,132.4,112.4,104.6,91.0,42.0,58.0,191.0,138.8,132.6,136.8,126.2,109.6,50.6,280.8,15.0,25.0,26.2,71.4
Haryana,40.25,25.75,32.75,67.75,130.5,101.75,99.0,93.75,42.0,58.75,188.5,143.25,132.75,127.75,158.5,114.0,45.25,234.5,25.75,16.75,24.0,68.5
Himachal Pradesh,37.25,21.0,32.25,76.83,143.83,120.92,112.5,86.92,44.5,53.08,219.5,166.67,140.25,134.0,152.4,121.5,46.33,258.83,27.58,31.17,38.5,54.08
Jammu and Kashmir,37.67,31.33,41.67,87.67,127.67,117.67,116.67,101.0,51.67,47.67,243.0,153.33,143.0,139.33,168.67,122.5,49.0,317.33,26.67,28.33,40.0,61.33
Jharkhand,37.74,31.06,34.89,75.11,141.32,107.05,106.37,80.95,43.89,57.0,185.77,139.79,123.79,132.67,157.41,106.78,47.61,294.76,23.39,19.58,29.21,58.22
Karnataka,54.91,41.72,45.44,87.63,150.72,131.56,121.59,105.31,41.63,50.03,179.69,170.22,122.81,140.65,124.66,99.03,51.63,292.47,19.41,30.78,34.41,33.38
Kerala,50.0,44.08,47.67,95.83,164.17,140.67,132.18,110.92,42.92,53.25,229.83,198.25,155.08,,122.33,100.36,63.75,236.92,14.0,35.33,34.75,38.92
Madhya Pradesh,36.64,27.59,33.34,76.68,142.7,105.36,106.5,90.75,42.07,57.59,191.61,136.23,120.16,114.66,143.26,112.65,47.45,242.59,19.05,20.8,26.2,48.05
Maharashtra,47.58,38.32,42.79,77.89,158.21,121.05,118.53,98.05,43.26,57.84,190.68,161.22,131.63,113.0,127.32,105.38,52.37,291.28,23.56,27.79,31.74,45.68
Meghalaya,38.67,37.44,37.33,78.6,131.0,127.83,115.0,90.89,46.11,72.56,139.0,133.89,140.0,132.11,169.5,136.67,79.33,347.0,22.89,26.22,49.11,68.78
Mizoram,47.09,43.0,45.2,99.22,132.43,122.86,123.75,104.82,50.0,76.82,179.67,192.3,172.4,142.27,181.0,137.2,116.63,493.89,28.91,40.09,52.91,79.22
Nagaland,40.56,40.13,47.88,96.67,129.83,121.5,122.0,96.94,50.73,71.08,200.0,141.88,179.17,150.81,186.0,137.5,73.13,319.29,17.4,28.73,49.67,92.33
Odisha,37.18,37.7,40.04,76.32,149.82,111.64,107.71,79.64,43.75,51.81,166.25,140.43,117.88,138.91,119.18,96.57,49.93,276.18,26.21,20.39,31.89,44.79
Punjab,37.36,23.82,28.91,78.82,147.82,115.73,109.91,91.55,42.55,59.0,194.6,125.64,120.82,118.27,137.1,104.56,50.0,269.09,26.45,19.64,33.45,46.09
Rajasthan,39.69,29.5,32.58,71.69,115.58,104.5,100.27,88.73,41.16,51.88,182.72,152.36,130.09,138.17,162.32,131.67,43.2,297.16,20.2,21.65,24.7,82.32
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,181.2,136.4,158.75,195.0,,56.8,446.0,19.0,35.6,43.0,79.6
Tamil Nadu,55.26,44.17,52.58,82.68,166.29,133.06,118.48,91.7,41.9,45.87,212.71,182.43,124.26,,116.35,93.68,53.77,287.4,23.42,34.61,35.94,27.81
Telangana,48.4,38.6,42.9,70.9,133.0,115.1,106.9,90.6,39.9,63.4,167.8,173.0,118.0,148.83,119.0,100.2,55.2,298.4,18.8,29.2,30.1,42.2
Tripura,38.33,,38.33,81.0,146.0,129.0,111.33,100.67,47.0,70.0,,134.67,136.5,120.33,161.0,104.0,70.0,235.0,10.67,24.0,40.33,84.67
Uttar Pradesh,36.68,25.66,31.92,74.43,137.45,110.65,107.43,92.33,42.16,62.16,191.95,142.03,130.47,135.08,163.27,113.43,47.77,242.91,26.77,20.0,29.99,54.56
Uttarakhand,35.0,26.25,32.5,84.5,124.5,106.25,110.75,101.5,41.25,62.75,163.0,139.25,142.25,141.5,154.75,114.0,51.25,263.25,28.25,22.5,32.25,45.0
West Bengal,43.83,29.7,37.83,77.65,135.74,113.5,118.39,105.96,43.68,54.55,201.27,133.27,114.05,117.64,134.05,101.9,52.09,276.14,21.95,21.05,35.41,57.75
2023-09-02,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,195.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,99.0
Andhra Pradesh,52.2,40.8,44.2,74.4,150.6,121.2,115.0,99.0,43.6,58.2,177.8,196.0,117.2,175.0,119.0,99.0,58.4,325.6,21.6,31.4,29.8,29.0
Arunachal pradesh,36.0,42.0,40.0,90.0,135.0,127.5,125.0,104.5,55.0,72.0,,130.0,120.0,130.0,200.0,,,,15.0,30.0,45.0,80.0
Assam,41.68,31.44,36.16,77.56,134.04,108.95,109.32,90.88,45.0,69.64,190.8,146.72,137.56,140.4,154.55,116.27,56.32,258.5,13.4,21.84,34.84,82.68
Bihar,38.31,26.25,32.92,74.28,135.83,112.22,108.22,80.61,43.17,55.14,189.59,138.53,126.36,130.47,170.57,110.21,48.78,275.69,22.69,19.5,31.69,63.17
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,42.0,40.0
Chhattisgarh,41.4,33.6,37.4,79.0,137.4,101.2,106.0,85.8,42.6,63.0,202.6,149.8,127.8,133.2,149.4,118.0,48.0,315.8,26.6,24.2,32.2,46.4
Delhi,39.0,28.0,31.0,82.0,162.0,132.0,115.0,91.0,42.0,53.0,218.0,144.0,131.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,37.0,40.0
DNH and DD,44.67,39.67,44.67,82.0,155.33,132.67,121.0,97.0,42.0,64.0,210.67,155.0,140.67,130.33,132.67,101.67,68.33,350.0,27.0,21.0,33.0,41.0
Gujarat,38.4,32.8,38.0,74.4,132.4,112.4,104.6,91.0,42.5,58.0,191.0,138.8,132.6,136.8,126.2,109.6,50.0,289.75,15.5,25.2,26.6,69.4
Haryana,40.25,25.75,32.75,67.75,130.5,101.75,99.0,93.75,42.0,58.75,188.5,143.25,132.75,127.75,158.5,114.0,45.25,234.5,25.75,16.75,24.0,68.5
Himachal Pradesh,37.25,21.0,32.25,77.0,144.0,121.08,112.67,87.0,44.5,53.25,219.5,166.75,140.25,134.0,152.4,121.5,46.42,258.75,27.58,30.83,38.5,50.75
Jammu and Kashmir,37.67,31.33,41.67,87.67,127.67,117.67,116.67,101.0,51.0,47.67,243.0,154.0,143.0,139.33,168.67,122.5,49.0,316.67,26.0,28.33,40.0,61.33
Jharkhand,37.74,30.94,34.74,75.21,141.68,107.05,106.21,80.95,43.78,57.06,185.08,139.42,123.37,132.06,157.59,106.39,47.78,299.18,23.39,19.37,29.11,56.28
Karnataka,55.03,41.67,45.47,88.33,151.13,132.13,121.53,106.27,41.76,49.9,178.93,169.48,123.28,139.18,124.45,99.55,51.69,296.17,19.59,30.93,34.31,33.31
Kerala,50.08,44.31,47.46,95.62,165.15,141.69,131.33,106.92,43.0,54.0,226.43,186.78,150.92,,122.0,100.08,62.54,231.38,14.08,36.08,34.46,35.38
Madhya Pradesh,36.1,27.23,33.08,76.28,143.05,106.1,106.67,90.22,42.05,57.17,191.72,137.28,120.85,114.38,144.0,113.27,47.17,244.6,18.82,20.6,26.13,42.4
Maharashtra,47.58,38.21,42.68,77.89,158.53,121.0,118.42,98.05,43.21,57.74,190.89,160.89,131.42,112.79,127.32,105.19,52.21,292.0,23.63,27.68,31.16,44.68
Meghalaya,38.13,38.57,38.0,77.6,132.83,125.4,113.43,90.38,46.0,72.38,139.0,136.25,140.0,140.38,181.0,159.5,77.8,341.25,23.25,26.75,48.5,69.5
Mizoram,50.0,37.5,52.5,98.0,,,120.0,107.5,50.0,77.5,,190.0,220.0,140.0,,,121.5,520.0,27.5,50.0,61.5,75.0
Nagaland,40.56,40.13,47.88,96.67,130.25,122.13,122.0,97.06,50.73,71.46,200.0,141.88,178.33,150.81,186.0,137.5,73.13,319.29,17.4,28.5,49.06,89.88
Odisha,37.35,37.72,39.76,77.35,151.31,112.81,108.54,80.15,44.0,51.83,161.14,139.19,116.46,134.7,118.08,96.42,49.56,269.16,26.04,20.44,32.48,40.72
Punjab,36.92,24.25,30.0,78.5,145.42,116.75,112.42,94.75,43.0,59.42,194.91,125.18,120.18,118.27,137.64,105.1,50.92,259.17,25.67,19.92,34.0,48.67
Rajasthan,39.38,28.63,31.0,68.88,115.63,104.63,100.13,85.38,40.25,53.0,178.88,146.88,124.75,137.5,154.86,130.0,40.38,298.0,20.25,21.38,24.5,74.75
Sikkim,51.4,35.8,43.0,81.0,131.4,131.6,123.6,104.0,48.6,63.4,,180.8,136.2,158.5,195.0,,57.0,444.0,18.8,35.6,43.0,77.6
Tamil Nadu,55.89,43.6,52.96,83.59,166.78,132.74,118.67,92.58,41.85,45.19,212.74,186.67,125.96,,116.37,93.37,53.81,294.59,24.15,34.0,36.0,27.26
Telangana,48.9,39.0,43.1,71.6,134.2,115.7,107.4,90.4,39.9,63.0,166.8,172.3,118.6,148.83,118.7,98.33,54.9,297.9,18.8,28.8,30.0,39.9
Tripura,39.0,,38.33,81.0,146.0,129.0,111.33,100.67,47.0,70.0,,133.33,136.5,119.67,160.33,104.33,70.0,235.0,10.67,24.0,41.0,84.67
Uttar Pradesh,36.77,25.57,31.86,74.4,137.99,110.53,107.14,92.1,42.21,62.15,191.94,141.52,130.78,135.04,163.04,113.61,47.74,242.92,26.73,20.07,30.36,51.22
Uttarakhand,35.0,26.25,32.5,84.5,124.5,106.25,110.75,101.5,41.25,62.75,162.5,139.0,141.5,141.0,154.5,114.0,51.25,263.25,28.25,23.0,32.25,43.75
West Bengal,42.53,29.44,38.21,77.32,133.95,113.5,119.16,106.05,43.5,54.28,195.7,133.17,113.56,118.61,135.39,102.59,50.61,277.44,21.28,21.11,35.0,55.0
2023-09-03,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar,45.0,,67.0,81.0,153.0,136.0,120.0,95.0,52.0,73.0,,176.0,220.0,,141.0,125.0,75.0,325.0,20.0,40.0,60.0,77.0
Andhra Pradesh,52.2,40.8,44.2,74.4,150.6,121.2,115.0,99.0,43.6,58.2,177.8,196.0,117.2,175.0,119.0,99.0,58.0,325.0,21.2,31.4,29.8,29.0
Assam,41.19,31.5,35.88,75.19,130.63,102.15,109.38,89.31,44.5,70.69,226.0,145.38,137.17,138.13,153.38,111.78,56.81,263.19,14.38,21.06,35.56,80.87
Bihar,37.76,26.32,32.32,74.56,138.68,113.44,109.12,79.52,43.16,56.0,184.64,138.72,124.04,128.04,169.71,106.2,47.76,280.84,22.8,19.6,31.72,58.32
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,36.0
Chhattisgarh,39.14,35.29,37.86,76.71,141.57,104.43,106.71,85.14,42.14,60.43,192.5,142.14,125.0,127.0,147.33,116.43,49.57,296.0,24.57,24.57,33.14,42.57
Delhi,39.0,28.0,31.0,82.0,162.0,130.0,115.0,91.0,42.0,53.0,218.0,144.0,131.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,37.0,40.0
DNH and DD,44.67,39.67,44.67,82.0,155.33,132.67,121.0,97.0,42.0,64.0,210.67,155.0,140.67,130.33,132.67,101.33,68.33,350.0,27.0,21.0,33.33,40.67
Gujarat,39.33,32.67,39.67,76.0,130.0,116.33,111.0,95.33,42.67,57.67,191.0,138.0,126.67,135.67,124.0,111.0,48.67,286.33,15.0,26.0,23.33,70.0
Haryana,40.5,26.0,33.0,68.0,131.25,102.0,99.25,94.0,42.25,59.25,188.75,143.5,133.0,128.0,158.75,114.25,45.5,237.0,25.75,17.25,25.0,69.75
Himachal Pradesh,37.25,21.0,32.25,77.0,144.0,121.08,112.67,87.0,44.55,54.45,219.5,166.75,140.25,134.0,152.4,121.5,46.73,261.36,27.55,30.83,38.5,50.75
Jammu and Kashmir,40.0,39.0,57.0,95.0,120.0,118.0,120.0,103.0,50.0,45.0,243.0,155.0,146.0,135.0,198.0,,49.0,355.0,28.0,30.0,40.0,67.0
Jharkhand,37.82,29.5,34.0,76.36,141.73,106.64,105.18,80.55,43.64,57.3,188.67,136.36,120.45,130.8,160.33,105.8,48.09,298.7,22.0,19.09,27.55,55.64
Karnataka,55.19,41.58,45.61,87.48,152.16,131.94,121.26,105.55,41.58,50.06,178.32,169.35,122.55,140.23,124.42,98.45,52.03,293.1,19.06,30.55,34.65,32.03
Madhya Pradesh,36.54,27.51,33.49,76.05,142.84,105.38,107.11,90.11,41.95,56.73,191.86,137.59,119.81,114.22,144.58,114.25,47.11,248.59,18.75,20.3,26.43,40.92
Maharashtra,47.58,38.26,42.68,77.89,158.68,121.0,118.32,98.05,43.21,57.74,190.79,160.78,131.42,112.89,127.32,105.13,52.21,292.0,23.63,27.68,31.37,43.79
Meghalaya,42.0,36.67,35.67,77.0,124.33,119.0,114.33,94.33,44.67,73.33,,143.33,135.0,136.67,190.0,130.0,76.67,313.33,30.0,26.0,45.67,60.0
Mizoram,50.0,40.0,45.0,98.0,,,120.0,105.0,50.0,75.0,,190.0,220.0,150.0,,,100.0,520.0,25.0,40.0,60.0,70.0
Odisha,36.86,37.6,39.92,78.36,150.43,113.57,109.71,80.64,43.43,52.29,141.67,138.07,113.38,131.33,116.43,96.86,50.21,274.27,26.36,20.36,32.43,39.0
Puducherry,46.0,39.0,33.0,73.0,168.0,125.0,110.0,87.0,40.0,45.0,205.0,166.0,149.0,,113.0,94.0,49.0,387.0,23.0,29.0,30.0,30.0
Punjab,36.55,24.27,29.73,79.18,141.27,116.36,110.91,96.91,42.45,59.36,195.5,128.64,120.73,119.73,142.4,106.0,51.0,257.36,25.36,20.09,34.64,44.09
Rajasthan,39.33,29.33,31.78,71.44,117.56,106.44,101.56,89.0,40.89,53.0,183.0,151.44,124.67,144.89,157.57,133.33,42.67,293.78,20.78,21.67,24.67,66.56
Sikkim,60.0,36.0,36.0,80.0,135.0,135.0,130.0,110.0,50.0,60.0,,187.0,167.0,,210.0,,66.0,343.0,17.0,28.0,40.0,88.0
Tamil Nadu,56.61,43.52,53.0,82.87,167.26,133.26,119.35,89.35,41.87,45.43,212.09,184.57,126.65,,116.13,93.52,54.35,288.93,24.52,35.39,35.83,27.17
Telangana,51.0,39.5,47.0,73.5,148.5,119.0,107.5,90.0,39.5,57.0,165.0,151.0,97.0,119.0,112.5,93.0,54.0,288.5,21.5,26.5,28.0,32.0
Uttar Pradesh,36.85,25.62,31.92,75.2,139.42,111.08,107.31,91.85,42.17,62.29,192.72,141.0,130.47,134.9,164.0,112.86,48.0,239.78,26.83,20.1,30.61,48.49
Uttarakhand,35.5,25.0,32.0,82.5,133.0,109.5,110.5,96.5,40.5,66.0,160.5,140.5,137.5,140.0,145.0,89.0,51.5,258.5,28.5,19.5,32.0,39.5
West Bengal,41.79,28.57,38.14,75.07,134.36,111.38,116.0,106.0,43.43,54.14,194.5,132.0,112.14,116.71,134.14,102.57,52.0,272.79,20.64,20.64,35.5,54.54
2023-09-04,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar,41.33,,66.0,84.67,149.67,141.33,128.0,99.33,53.0,70.67,236.5,192.67,198.33,,140.67,128.0,76.67,308.33,20.33,46.67,56.67,99.0
Andhra Pradesh,52.2,40.8,44.2,75.0,151.8,121.2,115.0,99.0,43.6,58.2,177.8,196.0,117.2,175.0,119.0,99.0,58.0,325.0,21.2,33.0,30.6,31.6
Arunachal pradesh,34.5,42.0,38.25,89.25,135.0,122.0,119.5,103.75,51.0,71.33,,157.67,153.33,142.67,212.5,,70.0,316.5,21.0,26.0,41.67,80.67
Assam,41.72,31.9,36.32,77.72,134.71,107.23,109.36,90.56,44.8,69.04,199.5,147.84,138.47,137.72,157.05,115.29,57.16,258.71,13.52,22.12,35.96,82.52
Bihar,37.74,26.29,32.71,74.57,137.46,111.71,108.51,79.74,43.35,55.97,196.71,138.46,125.0,130.11,169.54,110.21,48.5,270.32,23.32,19.74,32.03,57.85
Chandigarh,41.0,30.0,35.0,74.0,132.0,112.0,110.0,93.0,43.0,58.0,190.0,154.0,130.0,136.0,156.0,112.0,51.0,275.0,27.0,25.0,45.0,35.0
Chhattisgarh,37.75,34.25,36.5,78.0,137.88,104.38,107.0,87.5,41.88,58.0,202.75,146.88,129.63,131.25,150.29,120.75,48.13,292.75,22.75,24.0,31.13,40.75
Delhi,39.0,28.0,31.0,83.0,165.0,132.0,115.0,91.0,42.0,53.0,218.0,143.0,131.0,130.0,143.0,104.0,60.0,247.0,26.0,27.0,37.0,40.0
